id,lat,lon,highway,lamp_mount,lamp_type,light:count,material,lamp_ref,power,source,line_attachment,street_lamp,height,sidewalk_orientation,surface,colour,light_source,layer,direction,mapillary,transformer,design,guyed,line_management,transformer_bank,fixme,lit,note,lamp_flames,flag:name,flag:type,flag:wikidata,country,level,support,survey:date,light:height,mapillary:image,mapillary:map_feature
2636064588,45.3624996,-75.639835,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064589,45.362604,-75.639568,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064593,45.3627357,-75.639225,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064595,45.3630056,-75.638536,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064596,45.3631299,-75.6382189,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064597,45.3632852,-75.6378805,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064598,45.3634405,-75.6375405,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064604,45.3635948,-75.6371575,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064606,45.3637318,-75.6367697,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064609,45.3638775,-75.6363951,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064616,45.3639642,-75.636161,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064678,45.3617289,-75.6416823,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064680,45.3619302,-75.6416003,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064683,45.3621141,-75.6412947,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064685,45.3622374,-75.6408693,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064687,45.3623214,-75.6404929,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636064872,45.3608088,-75.6400068,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067887,45.3614549,-75.6386271,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067890,45.3615113,-75.6388957,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067894,45.3616094,-75.6382908,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067897,45.361773,-75.6390583,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067901,45.3620911,-75.6379092,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067912,45.3622638,-75.6382585,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067916,45.3623122,-75.6390755,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636067920,45.362338,-75.6386939,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636085027,45.3692161,-75.6212289,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636085028,45.3692964,-75.6210305,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636085030,45.3693782,-75.62083,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636085036,45.3694539,-75.6214293,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636085041,45.3695387,-75.6212375,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636085042,45.3696266,-75.6210348,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636114831,45.3636101,-75.6466178,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636114833,45.3637433,-75.6463092,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2636114838,45.3639341,-75.6459822,street_lamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
